DATE,VEHICLE,Site,PAYLOAD,ORBIT,Operator,Manufacture,Use,Comm'l Price,L,M,
10/12/2011,PSLV,Satish Dhawan,Jugnu,LEO,IIT Kapur,IIT Kapur,Remote Sensing,,S,S,
10/12/2011,PSLV,Satish Dhawan,SRMSAT,SSO,SRM University,SRM University,Scientific,,S,S,
10/12/2011,PSLV,Satish Dhawan,Vesselsat 1,LEO,LuxSpace Sarl,LuxSpace Sarl,Communications,,S,S,
10/19/2011,Proton M,Baikonur,* ViaSat 1,GEO,ViaSat,Space Systems/Loral,Communications,$85M,S,S,
10/21/2011,Soyuz 2,Kourou,Galileo 1,MEO,European Space Agency,OHB System,Navigation,,S,S,
10/21/2011,Soyuz 2,Kourou,Galileo 2,MEO,European Space Agency,OHB Systems,Navigation,,S,S,
10/28/2011,Delta II 7920,VAFB,NPP,SSO,NASA/NOAA,Ball Aerospace,Meteorological,,S,S,
10/28/2011,Delta II 7920,VAFB,RAX 2,LEO,University of Michigan,University of Michigan,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,M-Cubed,LEO,University of Michigan,University of Michigan,Remote Sensing,,S,S,
10/28/2011,Delta II 7920,VAFB,AS-1,LEO,Auburn University,Auburn University,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,Explorer-1 (PRIME),LEO,Montana State University,Montana State University,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,Unit 2,LEO,Montana State University,Montana State University,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,DICE 1,LEO,Utah State University,Utah State University,Scientific,,S,S,
10/28/2011,Delta II 7920,VAFB,DICE 2,LEO,Utah State University,Utah State University,Scientific,,S,S,
10/30/2011,Soyuz,Baikonur,Progress M-13M,LEO,Roscosmos,RSC Energia,ISS Cargo,,S,S,
10/31/2011,Long March 2F,Jiuquan,Shenzhou 8,LEO,China Aerospace Corp.,CAST,Development,,S,S,
11/4/2011,Proton M,Baikonur,Glonass M43,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
11/4/2011,Proton M,Baikonur,Glonass M44,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
11/4/2011,Proton M,Baikonur,Glonass M45,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
11/8/2011,Zenit 2M,Baikonur,Phobos-Grunt,EXT,Roscosmos,NPO Lavotchkin,Scientific,,S,F,
11/8/2011,Zenit 2M,Baikonur,Yinghuo,EXT,China National SpaceAcademy,Shanghai Institute ofSatellite Engineering,Scientific,,S,F,
11/9/2011,Long March 4B,Xichang,Yaogan 12,SSO,People's Liberation Army ,Shanghai Academy of Space Remote SensingTechnology,,,S,S,
11/9/2011,Long March 4B,Xichang,Tianxun 1,SSO,Nanjing University of Remote Sensing Aeronautics  & Astronautics,Nanjing University of Remote Sensing Aeronautics  & Astronautics,,,S,S,
11/14/2011,Soyuz,Baikonur,Soyuz TMA-22,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
11/20/2011,Long March 2D,Jiuquan,Chuang Xing 1-03,SSO,Shanghai Academy of China Academy of ScienceSpace Technology,,Communications,,S,S,
11/20/2011,Long March 2D,Jiuquan,Shiyan Wexing 4,SSO,Dongfanghong Satellite Co. Harbin Institute ofTechnology,,Scientific,,S,S,
11/25/2011,Proton M,Baikonur,* Asiasat 7,GEO,Asiasat,Space Systems/Loral,Communications,$85M,S,S,
11/26/2011,Atlas V 541,CCAFS,Mars ScienceLaboratory,EXT,NASA,NASA/JPL,Scientific,,S,S,
11/28/2011,Soyuz 2,Plesetsk,Glonass M46,MEO,Russian Space Forces,Reshetnev Company,Navigation,,S,S,
11/29/2011,Long March 2D,Jiuquan,Yaogan 13,SSO,People's Liberation Army,Shanghai Academy of Space ClassifiedTechnology,,,S,S,
12/1/2011,Long March 3A,Xichang,Beidou 2-IGS 5,GEO,People's Liberation Army,CAST,Navigation,,S,S,
12/11/2011,Proton M,Baikonur,Luch 5A,GEO,Roscosmos,Reshetnev Company,Communications,$85M,S,S,
12/11/2011,Proton M,Baikonur,* Amos 5,GEO,SpaceCom Ltd.,Reshetnev Company,Communications,,S,S,
12/12/2011,H IIA,Tanegashima,IGS-4B (Radar),SSO,Japan Defense Agency,Mitsubishi Electronic Corp.,Classified,,S,S,
12/16/2011,Soyuz 2,Kourou,Pleiades HR 1,LEO,CNES,EADS Astrium,Remote Sensing,,S,S,
12/16/2011,Soyuz 2,Kourou,ELISA 1,LEO,French MoD,EADS Astrium,Classified,,S,S,
12/16/2011,Soyuz 2,Kourou,ELISA 2,LEO,French MoD,EADS Astrium,Classified,,S,S,
12/16/2011,Soyuz 2,Kourou,ELISA 3,LEO,French MoD,EADS Astrium,Classified,,S,S,
12/16/2011,Soyuz 2,Kourou,ELISA 4,LEO,French MoD,EADS Astrium,Classified,,S,S,
12/16/2011,Soyuz 2,Kourou,SSOT,SSO,Government of Chile,EADS Astrium,Remote Sensing,,S,S,
12/19/2011,Long March 3B,Xichang,* Nigcomsat 1R,GEO,Nigerian CommunicationSatellite Ltd.,CAST,Communications,$70M,S,S,
12/21/2011,Soyuz,Baikonur,Soyuz TMA-03M,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
12/22/2011,Long March 4B,Xichang,Ziyuan 1-2C,SSO,China State Bureau ofSurveying and Mapping,CAST,Remote Sensing,,S,S,
12/23/2011,Soyuz 2,Plesetsk,Meridian 5,ELI,Russian Space Forces,Reshetnev Company,Communications,,F,F,
12/28/2011,Soyuz 2,Baikonur,*Globalstar 2nd Gen13,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,$50M,S,S,
12/28/2011,Soyuz 2,Baikonur,*Globalstar 2nd Gen14,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
12/28/2011,Soyuz 2,Baikonur,*Globalstar 2nd Gen15,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
12/28/2011,Soyuz 2,Baikonur,*Globalstar 2nd Gen16,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
12/28/2011,Soyuz 2,Baikonur,*Globalstar 2nd Gen17,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
12/28/2011,Soyuz 2,Baikonur,*Globalstar 2nd Gen18,LEO,"Globalstar, Inc.",Thales AleniaSpace,Communications,,S,S,
1/9/2012,CZ-4B," Taiyuan, China ",Ziyuan 3,SSO,China State Bureau of Surveying & Mapping,CAST,Remote Sensing,,S,S,
1/13/2012,CZ-3A," Xi Chang, China ",Fengyun 2-07(F),GEO,China State Meteorological Administration,Shanghai Institute of Satellite Engineering,Meteorological,,S,S,
1/20/2012,"Delta 4M+5,4"," Cape Canaveral, FL, USA  ",WGS 4,GEO,U.S. Air Force,Boeing,Communications,,S,S,
1/25/2012,Soyuz U," Tyuratam/Baikonur, Kazakstahn",Progress M-14M,LEO,Roscosmos,RSC Energia,ISS,,S,S,
2/3/2012,Safir," Semnan, Iran in Dasht-e-Kavir Desert",Navid-e Elm-o Sanat,LEO,Government of Iran,Sharif Univ ersity of Technology,Remote Sensing,,S,S,
2/13/2012,Vega," Kourou, French Guyana",LARES/ALMAsat,LEO,Italian Space Agency,CGS S.p.A,Scientific,,S,S,
2/14/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",SES 4,GEO,SES World Skies,Space Systems/Loral,Communications,$85M,S,S,
2/24/2012,CZ-3C," Xi Chang, China ",Beidou 11 (2G5),GEO,U.S. Navy,Lockheed Martin Corp,Communications,,S,S,
2/24/2012,Atlas 5-551," Cape Canaveral, FL, USA  ",MUOS 1,GEO,People's Liberation Army,Dongfanghong Satellite Co,Navigation,,S,S,
3/23/2012,Ariane 5 ES," Kourou, French Guyana",VA205/ATV-3,LEO,European Space Agency,European Space Agency,ISS,,S,S,
3/25/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Intelsat 22,GEO,Intelsat,Boeing Satellite Systems,Communications,$85M,S,S,
3/30/2012,Proton K/DM-2," Tyuratam/Baikonur, Kazakstahn",Kosmos 2479,GEO,Russian Space Forces,NPO Lavotchkin,Early Warning,,S,S,
3/31/2012,CZ-3B/E," Xi Chang, China ",Apstar 7,GEO,"APT Satellite Co., Ltd",Thales Alenia Space,Communications,$70M,S,S,
4/3/2012,"Delta 4M+5,2"," Vandenberg AFB, CA, USA",NROL-25,SSO,NRO,Classified,Classified,,S,S,
4/12/2012,Unha (Unha 3)," Sohae Satellite Launching Center, Tongchang-ri, North Korea",Kwangmyongsong 3,LEO,Democratic People's Republic of Korea,Institute for Electronic War,Remote Sensing,,F,F,
4/20/2012,Soyuz U," Tyuratam/Baikonur, Kazakstahn",Progress M-15M,LEO,Roscosmos,RSC Energia,ISS,,S,S,
4/23/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Yahsat 1B,GEO,Yah Satellite Communications Co.,EADS Astrium,Communications,$85M,S,S,
4/26/2012,PSLV-XL," Satish Dhawan Space Center, Sriharikota, India",Risat 1,SSO,ISRO,ISRO,Remote Sensing,,S,S,
4/30/2012,CZ-3B," Xi Chang, China ",Compass M3/M4,MEO,People's Liberation Army,CAST,Navigation,,S,S,
5/4/2012,Atlas 5-531," Cape Canaveral, FL, USA  ",AEHF 2,GEO,U.S. Department of Defence,Lockheed Martin Corp,Communications,,S,S,
5/6/2012,CZ-2D," Ji Quan, China ",Tianhui I-02,SSO,China National Space Administration,Dongfanghong Satellite Co,Remote Sensing,,S,S,
5/10/2012,CZ-4B," Taiyuan, China ",Yaogan 14/Tiantuo 1,SSO,People's Liberation Army,Shanghai Academy of Space Technology,Remote Sensing,,S,S,
5/15/2012,Soyuz FG," Tyuratam/Baikonur, Kazakstahn",Soyuz TMA-04M,LEO,Sky Perfect JSAT Group,Lockheed Martin Corp,Communications,$220M,S,S,
5/15/2012,Ariane 5 ECA," Kourou, French Guyana",VA206/JCSAT13/VINASAT2,GEO,Roscosmos,RSC Energia,Crewed,,S,S,
5/17/2012,Soyuz U," Plesetsk Northern Cosmodrome, Russia",Kobalt M,LEO,Russian Space Forces,RSC Energia,Intelligence,,S,S,
5/17/2012,H-2A-202," Tanageshima, Japan ",GCOM W1/Kompsat 3,SSO,JAXA,NEC Corp.,Scientific,,S,S,
5/17/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Nimiq 6,GEO,Telesat Canada,Space Systems/Loral,Communications,$85M,S,S,
5/22/2012,Falcon 9," Cape Canaveral, FL, USA  ",Dragon C2+,LEO,SpaceX,SpaceX,Development,$54M,S,S,
5/23/2012,Safir," Semnan, Iran in Dasht-e-Kavir Desert",Fajr,LEO,Iranian Ministry of Defence,Iranian Ministry of Defence,Development,,F,F,
5/26/2012,CZ-3B/E," Xi Chang, China ",Xhongxing 2A,GEO,People's Liberation Army,CAST,Communications,,S,S,
5/29/2012,CZ-4C," Taiyuan, China ",Yaogan 15,SSO,People's Liberation Army,Shanghai Academy of Space Technology,Remote Sensing,,S,S,
6/1/2012,Zenit 3SL/DMSL, Pacific Ocean Range 154W-0N ,Intelsat 19,GEO,Intelsat,Space Systems/Loral,Communications,$100M,S,S,
6/13/2012,Pegasus XL," Kwajalein, Marshall Is.",NuStar,LEO,NASA/JPL,Orbital Sciences Corp.,Scientific,,S,S,
6/16/2012,CZ-2F/G," Ji Quan, China ",Shenzhou 9,LEO,China Aerospace Corp.,CAST,Crewed,,S,S,
6/20/2012,Atlas 5," Cape Canaveral, FL, USA  ",NRO-L38,GEO,NRO,Boeing,Communications,,S,S,
6/29/2012,Delta 4H," Cape Canaveral, FL, USA  ",NRO-L15,GEO,NRO,Unknown,Intelligence,,S,S,
7/6/2012,Ariane 5 ECA," Kourou, French Guyana",VA207/Echostar 17/MSG,GEO,Hughes Network Systems,Space Systems/Loral,Communications,$220M,S,S,
7/9/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",SES 5,GEO,SES World Skies,Space Systems/Loral,Communications,$85M,S,S,
7/15/2012,Soyuz FG," Tyuratam/Baikonur, Kazakstahn",Soyuz TMA-05M,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
7/21/2012,H-2B," Tanageshima, Japan ",HTV-3(Kounotori),LEO,JAXA,Mitsubishi Heavy Industries Ltd.,ISS,,S,S,
7/22/2012,Soyuz FG/Fregat," Tyuratam/Baikonur, Kazakstahn",Konopus-B/MKA-FKI/+3sa,SSO,Roscosmos,VNIIEM,Remote Sensing,,S,S,
7/25/2012,CZ-3C," Xi Chang, China ",Tianlian-1 (3),GEO,CAST,CAST,Communications,,S,S,
7/28/2012,Rokot/Briz KM," Plesetsk Northern Cosmodrome, Russia",Kosmos 2481/2xGonets M,LEO,Russian Space Forces,Reshetnev Co.,Communications,,S,S,
8/1/2012,Soyuz U," Tyuratam/Baikonur, Kazakstahn",Progress M-16M,LEO,Roscosmos,RSC Energia,ISS,,S,S,
8/2/2012,Ariane 5 ECA," Kourou, French Guyana",Intelsat 20/Hylas 2,GEO,Avanti Screenmedia Group,Orbital Sciences Corp.,Communications,$220M,S,S,
8/6/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Telkom 3/Express MD2,GEO,Telkom Indonesia,Reshetnev Co.,Communications,$85M,F,F,
8/19/2012,Zenit 3SL/DMSL, Pacific Ocean Range 154W-0N ,Intelsat 21,GEO,Intelsat,Boeing Satellite Systems,Communications,$85M,S,S,
8/30/2012,Atlas 5-401," Cape Canaveral, FL, USA  ",RBSP-A/B (2sats),ELI,NASA,APL,Scientific,,S,S,
9/9/2012,PSLV-CA," Satish Dhawan Space Center, Sriharikota, India",SPOT 6/Proiteres,SSO,SPOT Image,EADS Astrium,Remote Sensing,,S,S,
9/13/2012,Atlas 5-401," Vandenberg AFB, CA, USA",NROL-36,LEO,NRO,Lockheed Martin Corp,Intelligence,,S,S,
9/17/2012,Soyuz 2-1a/Fregat," Tyuratam/Baikonur, Kazakstahn",Metop B,SSO,Eumetsat,EADS Astrium,Meteorological,,S,S,
9/18/2012,CZ-3B/E," Xi Chang, China ",Beidou M5/M6,MEO,People's Liberation Army,CAST,Navigation,,S,S,
9/22/2012,Safir," Semnan, Iran in Dasht-e-Kavir Desert",Fajr,LEO,Iran,Iran,Unknown,,F,F,
9/28/2012,Ariane 5 ECA," Kourou, French Guyana",VA209 Astra 2F/GSat 10,GEO,SES Astra,EADS Astrium,Communications,$220M,S,S,
9/29/2012,CZ-2D," Ji Quan, China ",VRSS 1,SSO,Venezuelan Ministry of Science and Technology,China Great Wall Industry Corp.,Remote Sensing,,S,S,
10/4/2012,"Delta 4M+4,2"," Cape Canaveral, FL, USA  ",GPS 2F-3,MEO,U.S. Air Force,Boeing,Navigation,,S,S,
10/8/2012,Falcon 9," Cape Canaveral, FL, USA  ",Dragon CRS-1,LEO,SpaceX,SpaceX,ISS,$54M,S,S,
10/12/2012,Soyuz 2-1b/Fregat," Kourou, French Guyana","IOV-2/Galileo FM3,4",MEO,European Space Agency,EADS Astrium,Navigation,,S,S,
10/14/2012,CZ-2C," Taiyuan, China ",Shijian 9 (2sats),SSO,Intelsat,Orbital Sciences Corp.,Communications,$85M,S,S,
10/14/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Intelsat 23,GEO,People's Liberation Army,Shanghai Academy of Space Technology,Development,,S,S,
10/23/2012,Soyuz FG," Tyuratam/Baikonur, Kazakstahn",Soyuz TMA-06M,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
10/25/2012,CZ-3C," Xi Chang, China ",Beidou G6,GEO,People's Liberation Army,Dongfanghong Satellite Co,Navigation,,S,S,
10/31/2012,Soyuz U," Tyuratam/Baikonur, Kazakstahn",Progress M-17M,LEO,Roscosmos,RSC Energia,ISS,,S,S,
11/2/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Yamal 300K/Luch 5B,GEO,Roscosmos,RSC Energia,Communications,$85M,S,S,
11/10/2012,Ariane 5 ECA," Kourou, French Guyana",VA210 Eutlst21B/Star1-,GEO,Star One,Orbital Sciences Corp.,Communications,$220M,S,S,
11/14/2012,Soyuz 2-1a/Fregat," Plesetsk Northern Cosmodrome, Russia",Merdian 6,LEO,Russian Space Forces,Reshetnev Co.,Communications,,S,S,
11/18/2012,CZ-2C," Taiyuan, China ",Huanjing 1C,SSO,China National Space Administration,CAST,Remote Sensing,,S,S,
11/20/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Echostar 16,GEO,Echostar Communications Corp.,Space Systems/Loral,Communications,$85M,S,S,
11/24/2012,CZ-4C," Ji Quan, China ",Yaogan 16,LEO,People's Liberation Army,CAST,Remote Sensing,,S,S,
11/27/2012,CZ-3B/E," Xi Chang, China ",Zhongxing 12,GEO,"APT Satellite Co., Ltd",Thales Alenia Space,Communications,,S,S,
12/2/2012,Soyuz 2-1a/Fregat," Kourou, French Guyana",Pleiades 1B,SSO,CNES,Astrium Satellite Ltd.,Remote Sensing,,S,S,
12/3/2012,Zenit 3SL/DMSL, Pacific Ocean Range 154W-0N ,Eutelsat 70B,GEO,Eutelsat,EADS Astrium,Communications,$100M,S,S,
12/8/2012,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Yamal 402,GEO,Gazprom Space Systems,Thales Alenia Space,Communications,$85M,S,S,
12/11/2012,Atlas 5-501," Cape Canaveral, FL, USA  ",OTV-3(X37B-1F2),LEO,U.S. Air Force,Boeing,Test,,S,S,
12/12/2012,Unha (Unha 3)," Sohae Satellite Launching Center, Tongchang-ri, North Korea",Kwangmyongsong 3F2,SSO,Democratic People's Republic of Korea,Institute for Electronic War,Remote Sensing,,S,S,
12/18/2012,CZ-2D," Ji Quan, China ",Gokturk 2,SSO,Turkish Military,TUBITAK-UZAY,Intelligence,$20M,S,S,
12/19/2012,Soyuz FG," Tyuratam/Baikonur, Kazakstahn",Soyuz TMA-07M,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
12/19/2012,Ariane 5 ECA," Kourou, French Guyana",VA211 Skynet 5D/Mexsat,GEO,Government of Mexico,Boeing,Communications,$220M,S,S,
1/15/2013,Rockot ,Plesetsk,Cosmos 2482,LEO,Russian Space Forces (VKS),Reshetnev Company,Communications,,S,S,
1/15/2013,Rockot ,Plesetsk,Cosmos 2483,LEO,Russian Space Forces (VKS),Reshetnev Company,Communications,,S,S,
1/15/2013,Rockot ,Plesetsk,Cosmos 2484,LEO,Russian Space Forces (VKS),Reshetnev Company,Communications,,S,S,
1/27/2013,H-IIA 202 ,Tanegashima,IGS-4D (RADAR),SSO,Japan Defense Agency,Mitsubishi Electric Corp.,Intelligence,,S,S,
1/27/2013,H-IIA 202 ,Tanegashima,IGS-5 Optical Demonstration,SSO,Japan Defense Agency,Mitsubishi Electric Corp.,Intelligence,,S,S,
1/30/2013,Naro-1 ,Naro Space Center,STSAT-2C,LEO,KARI,Korean Advanced Institute of Science and Technology,Scientific,,S,S,
1/30/2013,Atlas V 401 ,CCAFS,TDRS K,GEO,NASA,The Boeing Company,Communications,,S,S,
2/1/2013,Zenit 3SL ,Pacific Ocean,*   Intelsat 27,GEO,Intelsat,Boeing Satellite Systems,Communications,$100M,F,F,
2/6/2013,Soyuz 2.1a ,Baikonur,* Globalstar 2nd Gen 19,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,$50M,S,S,
2/6/2013,Soyuz 2.1a ,Baikonur,* Globalstar 2nd Gen 20,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
2/6/2013,Soyuz 2.1a ,Baikonur,* Globalstar 2nd Gen 21,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
2/6/2013,Soyuz 2.1a ,Baikonur,* Globalstar 2nd Gen 22,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
2/6/2013,Soyuz 2.1a ,Baikonur,* Globalstar 2nd Gen 23,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
2/6/2013,Soyuz 2.1a ,Baikonur,* Globalstar 2nd Gen 24,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
2/7/2013,Ariane 5 ECA ,Kourou,*   Amazonas 3,GEO,Hispasat,Space Systems/Loral,Communications,$220M,S,S,
2/7/2013,Ariane 5 ECA ,Kourou,Azersat 1,GEO,Government of Azerbijan,Orbital Sciences Corp.,Communications,,S,S,
2/11/2013,Soyuz U2/ Progress,Baikonur ,Progress M-18M,LEO,Russian Federal Space Agency (Roscosmos),RKK Energia,ISS,,S,S,
2/11/2013,Atlas V 401 ,VAFB,Landsat DCM,SSO,NASA/U.S. Geological Survey,Orbital Sciences Corp.,Remote Sensing,,S,S,
2/25/2013,PSLV Standard Satish,Dhawan,Saral,SSO,ISRO,ISRO,Remote Sensing,,S,S,
3/1/2013,Falcon 9 v1.0 ,CCAFS Dragon,*   Dragon ISS 2D,LEO,Space Exploration Technologies,Space Exploration Technologies,ISS,$56.5M,S,S,
3/19/2013,Atlas V 401 ,CCAFS,SBIRS GEO 2,GEO,U.S. Air Force,Lockheed Martin Corp.,Early Warning,,S,S,
3/26/2013,Proton M/ Breeze-M,Baikonur ,*   SatMex 8,GEO,Satelites Mexicanos,Space Systems/Loral,Communications,$85M,S,S,
3/26/2013,Proton M/ Breeze-M,Baikonur ,*   SatMex 8,GEO,S.A. de C.V.,Space Systems/Loral,Communications,,S,S,
3/28/2013,Soyuz U2/Soyuz    ,Baikonur,Soyuz TMA-08M,LEO,Russian Federal Space Agency (Roscosmos),RKK Energia,Crewed,,S,S,
4/15/2013,Proton M/ Breeze-M,Baikonur ,*   Anik G1,GEO,Telesat,Space Systems/Loral,Communications,$85M,S,S,
4/19/2013,Soyuz 2.1a ,Baikonur,Bion M1,LEO,Russian Federal Space Agency (Roscosmos),TsSKB Progress,Scientific,,S,S,
4/21/2013,Antares 120 ,MARS,* Cygnus Mass Simulator,LEO,Orbital Sciences Corp.,Orbital Sciences Corp.,Test,$77.5M,S,S,
4/24/2013,Soyuz U2/ Progress,Baikonur,Progress M-19M,LEO,Russian Federal Space Agency (Roscosmos),RKK Energia,ISS,,S,S,
4/26/2013,Long March 2D,Jiuquan,GAOFEN 1,SSO,China Aerospace Science and Technology Corporation (CASC),China Aerospace Science and Technology Corporation (CASC),Remote Sensing,,S,S,
4/26/2013,Soyuz 2.1b,Plesetsk,Glonass M47,MEO,Russian Space Forces (VKS),Reshetnev Company,Navigation,,S,S,
5/1/2013,Long March 3B,Xichang,*   Chinasat 11 (Sinosat 7),GEO,"China Direct Broadcast Satellite Co., Ltd (CHINA DBSAT)",Aerospace Dongfanghong Satellite Company,Communications,,S,S,
5/6/2013,Vega,Kourou,Proba-V,SSO,European Space Agency,QINETIQ,Remote Sensing,,S,S,
5/6/2013,Vega,Kourou,VNREDSat 1A,SSO,Vietnam Acadamy of Science & Technology,EADS Astrium,Remote Sensing,,S,S,
5/6/2013,Vega,Kourou,ESTCube 1,SSO,Tartu University,Tartu University,Development,,S,S,
5/14/2013,Proton M/ Breeze-M,Baikonur,*   Eutelsat 3D,GEO,Eutelsat,Thales Alenia Space,Communications,$85M,S,S,
